Study_Hours,Attendance,Previous_Score,Assignments_Score,Final_Marks
4.4,63.3,54.4,80.4,63.5
9.6,79.4,53.6,87.8,74.9
7.6,94.3,89.8,55.0,71.7
6.4,88.0,53.7,77.5,67.5
2.4,91.3,55.0,74.3,54.7
2.4,84.6,81.8,90.0,64.4
1.5,86.2,64.7,94.4,56.6
8.8,93.2,82.7,40.7,63.2
6.4,66.2,43.6,80.4,57.4
7.4,77.0,66.8,43.1,61.7
1.2,65.0,41.8,72.9,44.7
9.7,99.4,43.4,57.3,64.7
8.5,97.5,89.9,58.4,73.6
2.9,56.8,47.7,61.2,49.0
2.6,86.8,69.3,77.3,55.5
2.7,96.6,62.6,60.0,60.6
3.7,63.1,59.1,84.0,53.7
5.7,80.6,89.5,64.3,66.6
4.9,96.2,41.2,44.1,44.9
3.6,56.5,76.5,87.0,60.5
6.5,86.4,93.0,57.1,76.4
2.3,68.4,70.8,66.0,57.4
3.6,96.6,91.5,81.1,77.4
4.3,98.7,42.9,59.9,57.4
5.1,97.5,63.0,43.4,53.6
8.1,76.3,54.3,62.4,62.0
2.8,93.8,80.2,96.7,67.8
5.6,93.0,94.0,78.5,82.9
6.3,69.4,54.1,80.3,57.3
1.4,92.3,76.0,77.9,66.0
6.5,56.7,50.9,51.9,56.8
2.5,81.8,71.1,65.1,66.1
1.6,65.4,65.5,85.1,54.4
9.5,60.4,93.5,46.1,74.6
9.7,58.5,73.5,56.7,78.4
8.3,86.3,59.2,56.6,62.9
3.7,70.3,46.3,65.9,44.3
1.9,87.6,48.3,98.8,50.7
7.2,57.9,52.4,44.1,56.2
5.0,69.2,53.8,71.1,48.9
2.1,79.3,86.8,50.8,56.0
5.5,90.6,70.9,98.2,76.2
1.3,69.3,68.8,46.8,48.5
9.2,83.2,46.3,64.2,67.1
3.3,94.9,87.3,84.3,72.6
7.0,82.7,79.8,82.3,80.6
3.8,65.5,43.7,65.4,45.3
5.7,56.1,78.9,60.8,58.5
5.9,94.2,69.9,63.9,63.4
2.7,56.0,44.5,55.9,47.1
9.7,94.4,65.2,52.3,75.0
8.0,78.8,66.7,69.0,71.1
9.5,97.3,49.1,56.1,72.5
9.1,90.9,92.0,57.2,73.0
6.4,99.9,86.7,79.4,85.4
9.3,70.8,76.8,98.1,87.6
1.8,89.5,65.4,76.2,62.1
2.8,73.1,62.6,44.6,57.3
1.4,76.6,75.8,44.5,43.3
3.9,83.2,70.0,97.1,66.5
,94.3,43.4,57.8,51.0
3.4,99.3,68.2,45.5,60.4
8.5,89.6,84.4,75.9,74.4
4.2,73.8,65.3,77.4,64.9
3.5,74.0,42.9,78.9,59.8
5.9,88.2,83.2,56.0,70.9
2.3,65.7,51.1,40.9,43.7
8.2,60.0,54.2,97.9,65.1
1.7,71.0,49.1,55.1,41.2
9.9,67.9,58.2,80.6,77.2
8.0,68.3,81.6,82.4,78.5
2.8,65.5,68.6,76.6,57.5
1.0,56.9,51.3,58.8,40.7
8.3,55.8,88.3,56.3,59.8
7.4,99.4,88.4,75.9,74.8
7.6,74.2,87.9,92.0,88.0
7.9,72.3,53.1,96.8,64.8
1.7,85.6,64.8,46.4,51.0
4.2,64.8,94.2,49.3,66.0
2.0,97.7,82.5,96.7,65.3
8.8,90.4,41.5,84.2,70.0
6.6,59.0,43.6,93.0,65.7
4.0,73.8,65.5,52.2,54.8
1.6,94.6,90.0,75.3,79.3
3.8,97.5,69.6,82.1,59.8
3.9,76.0,67.4,80.8,67.4
7.6,82.6,45.8,64.5,60.7
6.7,62.5,76.1,40.9,62.5
9.0,99.6,85.2,75.0,84.0
5.2,65.4,60.9,55.2,52.0
2.1,97.4,82.7,67.0,64.7
7.4,84.2,93.0,97.5,75.4
7.8,82.3,51.2,63.9,66.0
6.1,78.1,68.8,90.4,72.1
7.9,65.4,55.8,51.3,61.6
5.4,62.9,83.6,80.3,73.1
5.7,64.9,71.8,98.6,72.1
4.8,63.4,74.9,46.1,56.6
1.2,90.1,83.9,40.5,50.2
2.0,70.8,61.8,66.0,49.0
1.3,57.6,90.3,45.6,57.1
6.7,98.6,69.3,84.9,81.0
3.8,94.8,48.7,94.9,62.7
5.6,96.7,78.3,66.0,69.9
9.2,99.8,83.6,55.5,73.1
3.2,62.8,57.4,66.1,57.4
4.7,72.8,87.1,83.4,73.4
7.8,89.1,89.8,40.5,79.0
3.1,86.3,55.2,75.4,53.8
1.7,61.9,94.1,76.8,60.6
3.6,91.7,47.7,78.3,59.4
2.5,65.1,51.1,54.5,49.1
9.4,65.1,50.1,82.8,67.2
8.3,79.2,89.2,45.5,66.7
6.7,81.7,76.0,52.0,69.2
8.8,81.1,48.4,92.6,74.9
8.2,59.1,64.2,84.3,64.9
2.7,94.5,73.8,40.8,61.4
9.0,67.0,44.6,54.9,64.2
5.9,60.8,88.5,52.9,64.3
8.3,95.0,84.2,56.2,75.0
9.1,98.0,67.8,54.9,74.2
3.9,93.8,93.2,43.8,60.5
2.0,91.4,63.0,67.5,56.8
3.1,84.5,94.1,84.0,61.6
4.8,79.8,76.7,76.4,71.0
8.4,58.9,74.9,80.4,64.6
8.7,73.4,49.1,44.9,65.1
1.1,71.8,88.5,97.1,64.7
5.6,66.7,63.5,90.3,65.0
4.8,87.6,48.9,88.3,60.2
3.0,77.3,40.7,89.4,53.8
2.1,58.6,70.8,96.0,66.8
4.0,64.9,69.0,72.7,48.2
9.5,85.7,79.6,52.0,79.0
3.9,58.4,89.0,77.0,66.6
5.7,93.3,44.4,84.6,58.4
7.3,77.3,80.2,84.3,70.3
4.3,76.6,50.3,71.3,63.7
9.7,81.7,87.2,44.1,69.0
9.7,92.1,85.0,62.3,73.8
3.3,70.7,69.7,95.2,69.8
5.5,85.5,79.1,75.1,71.5
3.7,80.5,57.3,72.3,53.7
3.6,67.0,65.9,56.1,54.7
1.3,94.5,85.2,62.1,56.3
6.5,90.9,65.3,93.7,78.6
5.5,84.6,59.7,80.0,70.0
1.5,93.3,67.2,87.2,64.4
3.5,94.0,85.6,67.3,68.8
9.2,86.9,58.4,77.8,80.8
3.2,92.7,49.6,54.9,52.3
2.3,86.4,79.2,82.3,59.6
5.4,85.6,85.4,65.7,71.4
9.9,82.8,45.5,66.6,76.4
3.2,88.9,53.2,79.0,54.2
7.0,62.1,47.8,96.2,63.3
7.9,94.6,59.1,43.8,65.0
3.1,94.2,64.8,89.5,65.3
7.6,56.3,81.2,57.5,61.2
4.3,92.2,75.8,66.6,70.5
6.7,60.8,74.2,41.3,68.7
6.7,70.1,59.4,58.1,60.6
5.8,88.5,86.3,70.2,68.1
1.8,62.2,65.9,43.4,38.8
8.5,91.8,93.9,69.5,81.9
3.9,92.4,74.9,95.6,76.5
2.7,77.8,46.9,46.3,47.7
1.4,55.3,77.2,85.9,57.7
6.3,67.9,57.9,64.6,57.0
7.1,82.8,77.7,79.3,68.7
1.1,99.2,43.8,55.6,51.1
5.6,83.4,49.6,49.6,58.7
3.0,66.7,87.1,49.6,50.2
6.8,83.5,52.5,44.2,63.9
2.6,79.3,86.0,51.1,61.2
7.2,90.1,55.4,79.9,75.0
4.5,59.8,75.4,92.9,60.5
9.4,89.2,78.2,88.8,76.2
2.2,79.4,68.2,81.1,59.2
4.1,98.3,56.8,46.6,57.7
2.0,70.4,51.7,57.4,55.0
9.3,83.5,41.8,58.6,65.9
8.9,96.9,56.7,55.0,66.7
3.3,59.6,75.9,70.9,53.9
6.9,97.2,91.6,72.1,83.7
8.4,86.0,87.9,61.4,71.3
6.0,58.1,82.1,61.2,70.9
5.8,68.5,83.4,89.7,71.3
3.2,86.9,76.6,87.4,74.7
1.8,58.0,54.3,58.5,48.4
9.1,81.2,89.9,94.8,84.7
9.1,70.6,76.9,97.2,77.8
6.7,82.9,70.8,59.6,64.3
4.1,57.1,46.1,61.3,50.4
4.1,94.2,64.6,70.3,63.3
7.5,98.8,65.3,96.5,75.3
9.1,98.6,87.6,92.6,86.5
9.0,88.7,70.1,46.2,68.7
8.0,60.9,60.9,63.6,53.2
6.8,89.1,93.7,73.2,79.5
1.8,56.1,46.1,70.2,41.0
2.5,56.0,63.2,51.6,42.3
9.1,69.6,42.3,91.5,60.5
6.5,77.0,80.7,80.6,64.4
1.1,89.7,90.5,90.3,62.2
1.9,85.7,55.4,91.5,55.9
7.0,75.1,87.2,84.9,85.1
1.0,67.3,56.1,66.4,45.4
2.4,99.9,90.1,76.6,70.2
5.9,74.2,81.5,49.6,65.0
7.2,75.3,84.3,80.4,75.4
6.9,62.4,41.0,50.8,51.1
3.0,90.8,93.0,81.6,65.9
7.4,86.2,80.0,53.8,75.8
3.1,64.9,56.8,47.1,55.4
3.9,58.7,85.6,49.9,49.7
7.7,85.6,55.5,40.1,54.4
6.8,84.5,88.0,83.1,76.1
8.6,67.3,46.2,83.9,61.5
6.9,97.8,78.7,70.9,76.4
6.1,61.8,69.7,49.7,54.6
,74.5,45.3,45.0,52.0
4.3,97.5,53.3,41.1,58.6
3.4,73.9,40.7,49.9,46.4
3.2,83.7,65.8,93.5,69.8
9.8,72.9,56.6,54.5,70.3
4.5,67.3,72.9,61.3,56.7
9.0,99.3,56.3,46.3,62.5
6.7,73.4,56.5,53.3,58.6
8.2,95.2,80.9,71.2,81.1
5.5,65.3,42.6,76.5,56.4
6.2,64.6,89.7,54.7,58.8
5.4,56.4,86.9,43.5,55.4
2.8,84.3,76.7,63.5,59.9
7.5,71.6,72.6,54.1,64.4
3.5,93.9,89.1,53.2,73.5
1.2,76.3,50.2,97.6,49.6
6.8,98.6,44.3,77.0,67.5
2.6,63.3,53.2,73.4,58.1
9.5,94.1,83.7,64.9,89.4
9.6,89.9,41.9,65.7,64.5
9.2,89.7,72.1,72.5,78.4
4.3,93.0,94.7,81.8,77.6
1.1,89.2,87.1,82.1,66.0
9.4,83.2,68.7,50.3,68.4
4.9,60.9,43.5,70.0,54.3
9.7,56.5,85.7,64.7,62.0
9.7,96.4,72.9,92.2,86.7
8.7,82.7,46.3,77.9,68.0
3.7,90.8,45.2,72.0,55.0
4.5,76.7,90.0,46.9,71.6
8.7,60.3,76.8,76.3,69.1
3.9,60.6,85.6,47.0,55.1
2.5,85.9,88.3,60.2,71.5
6.0,74.4,71.4,48.6,56.4
9.4,64.0,68.5,81.5,70.6
7.3,77.1,63.7,52.4,61.5
6.1,57.9,57.4,63.5,60.7
1.9,81.2,63.9,93.7,62.3
6.5,67.1,82.6,52.3,58.4
9.9,90.9,73.1,70.5,75.3
2.3,69.0,89.1,65.2,57.8
5.7,75.5,64.4,41.1,55.4
8.9,55.5,73.4,87.6,75.4
7.7,58.3,74.7,44.1,62.8
7.3,72.7,72.5,68.5,60.0
7.3,76.6,78.6,73.6,76.6
4.2,82.0,53.1,77.7,60.5
3.6,68.1,68.2,81.3,67.2
8.3,86.3,45.7,55.2,63.3
8.3,93.7,61.1,40.6,68.6
8.8,90.1,66.8,83.4,78.6
9.2,56.8,75.9,72.1,77.3
5.6,76.6,92.3,90.2,78.7
5.5,59.7,73.0,89.3,66.6
8.2,65.9,80.9,90.6,87.0
6.8,99.4,67.8,69.1,74.5
7.3,61.4,74.9,60.0,67.2
8.2,77.4,43.9,87.5,61.3
9.0,82.8,54.0,67.1,61.9
4.0,86.6,59.9,51.0,56.4
4.4,80.2,66.0,91.3,67.4
1.8,55.4,42.5,93.0,47.2
6.2,69.7,47.7,68.0,58.1
1.3,78.3,55.2,44.5,51.8
5.2,59.0,93.4,63.3,69.0
5.9,70.8,58.2,88.2,60.1
3.6,56.5,66.5,94.1,61.1
6.3,58.5,50.8,52.2,49.1
1.3,72.9,73.6,44.0,47.3
1.3,61.0,55.4,92.6,51.7
8.4,80.5,51.4,63.4,62.1
4.2,86.0,68.4,72.5,57.7
2.1,91.0,40.3,98.1,57.0
5.7,64.0,40.4,44.0,44.7
7.9,62.5,52.0,78.9,50.8
2.9,59.7,42.0,44.4,50.1
6.6,83.6,45.9,62.5,63.9
1.8,86.8,58.6,88.2,57.5
1.5,56.4,84.1,66.0,55.3
5.8,97.1,71.5,99.8,71.4
5.9,57.3,68.2,73.5,69.8
6.7,79.4,56.1,59.3,69.2
7.5,86.9,91.2,53.2,73.5
9.8,94.2,61.8,61.0,76.9
5.6,87.1,44.8,62.4,57.8
3.9,91.1,73.9,44.1,52.2
8.2,70.3,46.3,62.2,58.3
3.4,91.7,59.0,67.9,59.3
5.0,58.6,67.9,83.4,60.7
1.7,95.3,88.1,79.4,66.2
1.2,79.6,67.1,82.5,57.3
9.7,91.8,78.6,40.5,71.2
8.5,75.4,94.6,53.1,74.2
7.3,84.0,47.2,79.7,60.5
4.7,78.7,55.1,69.0,55.1
2.6,87.9,61.7,40.3,44.3
2.4,58.7,63.2,88.3,61.3
3.3,57.7,62.6,86.4,48.6
5.9,66.1,89.9,72.9,75.3
7.4,62.2,79.3,44.0,68.5
6.9,94.2,73.4,86.0,74.3
3.5,64.9,57.0,75.0,43.5
9.6,98.9,85.3,86.9,84.6
7.6,70.2,92.5,85.1,78.1
6.0,63.2,85.2,88.2,67.6
6.5,90.5,40.1,71.1,58.1
4.8,84.6,75.0,48.4,67.3
3.2,77.4,42.8,80.3,56.9
4.2,80.0,54.2,77.2,55.0
7.8,87.4,43.3,84.5,59.8
1.1,65.3,73.2,50.2,47.2
2.0,99.8,77.8,51.7,57.7
1.4,98.9,46.3,93.4,60.4
1.4,84.3,61.1,85.0,55.4
8.7,64.0,65.1,94.5,76.1
7.3,85.6,60.3,85.5,79.6
